condition,img,ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,Session,Participant,
img_left,common/white.png,180,0,0,0,2,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
exec_right,common/red.png,0,0,1,1,1,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
imag_third,common/white.png,270,0,2,2,4,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
img_right,common/white.png,0,0,3,3,3,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
exec_left,common/red.png,180,0,4,4,0,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
imag_third,common/white.png,270,1,0,5,4,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
img_right,common/white.png,0,1,1,6,3,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
img_left,common/white.png,180,1,2,7,2,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
exec_left,common/red.png,180,1,3,8,0,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
exec_right,common/red.png,0,1,4,9,1,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
img_left,common/white.png,180,2,0,10,2,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
exec_left,common/red.png,180,2,1,11,0,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
imag_third,common/white.png,270,2,2,12,4,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
exec_right,common/red.png,0,2,3,13,1,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
img_right,common/white.png,0,2,4,14,3,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
imag_third,common/white.png,270,3,0,15,4,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
exec_right,common/red.png,0,3,1,16,1,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
img_right,common/white.png,0,3,2,17,3,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
img_left,common/white.png,180,3,3,18,2,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
exec_left,common/red.png,180,3,4,19,0,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
img_left,common/white.png,180,4,0,20,2,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
exec_left,common/red.png,180,4,1,21,0,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
exec_right,common/red.png,0,4,2,22,1,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
img_right,common/white.png,0,4,3,23,3,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
imag_third,common/white.png,270,4,4,24,4,2018_Sep_25_1858,60.01811744907335,Real/Imagery motor movement,1,2,
