condition,img,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,Session,Participant,
exec_left,common/recall_cross_EL.png,8,3,43,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,8,4,44,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,9,0,45,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,9,1,46,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,9,2,47,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,9,3,48,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,9,4,49,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,10,0,50,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,10,1,51,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,10,2,52,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,10,3,53,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,10,4,54,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,11,0,55,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,11,1,56,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,11,2,57,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,11,3,58,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,11,4,59,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,12,0,60,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,12,1,61,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
