condition,img,ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,Session,Participant,
exec_left,common/red.png,180,0,0,0,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,0,1,1,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,0,2,2,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,0,3,3,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,0,4,4,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,1,0,5,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,1,1,6,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,1,2,7,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,1,3,8,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,1,4,9,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,2,0,10,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,2,1,11,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,2,2,12,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,2,3,13,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,2,4,14,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,3,0,15,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,3,1,16,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,3,2,17,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,3,3,18,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,3,4,19,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,4,0,20,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,4,1,21,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,4,2,22,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,4,3,23,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,4,4,24,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,5,0,25,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,5,1,26,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,5,2,27,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,5,3,28,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,5,4,29,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,6,0,30,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,6,1,31,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,6,2,32,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,6,3,33,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,6,4,34,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,7,0,35,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,7,1,36,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,7,2,37,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,7,3,38,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,7,4,39,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,8,0,40,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,8,1,41,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,8,2,42,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,8,3,43,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,8,4,44,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,9,0,45,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,9,1,46,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,9,2,47,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,9,3,48,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,9,4,49,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,10,0,50,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,10,1,51,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,10,2,52,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,10,3,53,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,10,4,54,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,11,0,55,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,11,1,56,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,11,2,57,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,11,3,58,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
