condition,img,ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,Session,Participant,
img_left,common/white.png,180,11,4,59,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,12,0,60,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,12,1,61,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,12,2,62,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,12,3,63,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,12,4,64,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,13,0,65,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,13,1,66,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,13,2,67,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,13,3,68,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,13,4,69,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,14,0,70,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,14,1,71,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,14,2,72,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,14,3,73,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,14,4,74,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,15,0,75,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,15,1,76,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,15,2,77,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,15,3,78,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,15,4,79,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,16,0,80,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,16,1,81,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,16,2,82,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,16,3,83,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,16,4,84,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,17,0,85,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,17,1,86,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,17,2,87,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,17,3,88,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,17,4,89,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,18,0,90,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,18,1,91,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,18,2,92,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,18,3,93,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,18,4,94,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_left,common/red.png,180,19,0,95,0,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_right,common/white.png,0,19,1,96,3,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
img_left,common/white.png,180,19,2,97,2,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
imag_third,common/white.png,270,19,3,98,4,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
exec_right,common/red.png,0,19,4,99,1,2018_Sep_28_1546,59.978938584465986,Real/Imagery motor movement,2,5,
