condition,img,ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,Session,Participant,
exec_left,common/red.png,180,9,2,47,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,9,3,48,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,9,4,49,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,10,0,50,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_left,common/red.png,180,10,1,51,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,10,2,52,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_left,common/white.png,180,10,3,53,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,10,4,54,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,11,0,55,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_left,common/white.png,180,11,1,56,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,11,2,57,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,11,3,58,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_left,common/red.png,180,11,4,59,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_left,common/red.png,180,12,0,60,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,12,1,61,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,12,2,62,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_left,common/white.png,180,12,3,63,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,12,4,64,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,13,0,65,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_left,common/red.png,180,13,1,66,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_left,common/white.png,180,13,2,67,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,13,3,68,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,13,4,69,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,14,0,70,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_left,common/white.png,180,14,1,71,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,14,2,72,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,14,3,73,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_left,common/red.png,180,14,4,74,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,15,0,75,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,15,1,76,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,15,2,77,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_left,common/white.png,180,15,3,78,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_left,common/red.png,180,15,4,79,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,16,0,80,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,16,1,81,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_left,common/red.png,180,16,2,82,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,16,3,83,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_left,common/white.png,180,16,4,84,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,17,0,85,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,17,1,86,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_left,common/red.png,180,17,2,87,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_left,common/white.png,180,17,3,88,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,17,4,89,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,18,0,90,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,18,1,91,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_left,common/white.png,180,18,2,92,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,18,3,93,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_left,common/red.png,180,18,4,94,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,19,0,95,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,19,1,96,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_left,common/white.png,180,19,2,97,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,19,3,98,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_left,common/red.png,180,19,4,99,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
